date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:02	60768/60768	---MCZ	200	added ('OK')	text/html	etag:W/%22ed60-lwUZHM/LVSoDyfAKNdpxq89MVCM%22	https://support.makerbot.com/product/makerbot-sketch	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/product/makerbot-sketch.html	(from https://support.makerbot.com/)
17:39:02	9751/9751	---M--	200	added ('OK')	image/png	etag:%22e03d52d0cea2347e13956c33a43259cc%22	https://images.makerbot.com/support/production/home/product-sketch.png	C:/Users/EXC_TECH/Downloads/mkaerbot/images.makerbot.com/support/production/home/product-sketch.png	(from https://support.makerbot.com/)
17:39:03	62293/62293	---MCZ	200	added ('OK')	text/html	etag:W/%22f355-wFJbiOcvbrt0vryfo//jn2KlT1Y%22	https://support.makerbot.com/product/makerbot-print-software	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/product/makerbot-print-software.html	(from https://support.makerbot.com/)
17:39:03	3362/3362	---M--	200	added ('OK')	image/png	etag:%227b04872125b04142b8ad77ea5855ffa5%22	https://images.makerbot.com/support/production/home/product-software.png	C:/Users/EXC_TECH/Downloads/mkaerbot/images.makerbot.com/support/production/home/product-software.png	(from https://support.makerbot.com/)
17:39:04	164/164	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2018%20Dec%202020%2016:39:04%20GMT	http://support.makerbot.com/learn/makerbot-method/basic-usage/method-firmware_13739	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/learn/makerbot-method/basic-usage/method-firmware_13739.20.delayed	(from https://support.makerbot.com/)
17:39:05	164/164	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2018%20Dec%202020%2016:39:05%20GMT	http://support.makerbot.com/learn/makerbot-print-software/using-makerbot-print/using-makerbot-print_13586	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/learn/makerbot-print-software/using-makerbot-print/using-makerbot-print_13586	(from https://support.makerbot.com/)
17:39:05	69764/69764	---MCZ	200	added ('OK')	text/html	etag:W/%2211084-84UeQyp+AQ192BNVtTP1qQCB+dE%22	https://support.makerbot.com/learn/makerbot-method/basic-usage/method-firmware_13739	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/learn/makerbot-method/basic-usage/method-firmware_13739.html	(from https://support.makerbot.com/)
17:39:06	164/164	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2018%20Dec%202020%2016:39:06%20GMT	http://support.makerbot.com/learn/makerbot-desktop-software/release-notes/makerbot-desktop-release-notes_13520	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/learn/makerbot-desktop-software/release-notes/makerbot-desktop-release-notes_13520	(from https://support.makerbot.com/)
17:39:06	73773/73773	---MCZ	200	added ('OK')	text/html	etag:W/%221202d-yxaVihPSmUBw5/BrJonQw2KKHoI%22	https://support.makerbot.com/learn/makerbot-print-software/using-makerbot-print/using-makerbot-print_13586	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/learn/makerbot-print-software/using-makerbot-print/using-makerbot-print_13586.html	(from https://support.makerbot.com/)
17:39:07	164/164	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2018%20Dec%202020%2016:39:07%20GMT	http://support.makerbot.com/troubleshooting/orders-and-shipping/orders/how-do-i-check-my-order-status_11542	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/troubleshooting/orders-and-shipping/orders/how-do-i-check-my-order-status_11542	(from https://support.makerbot.com/)
